Factor,TrialNumber,IrrigationType,FactorValue
Yield,1,Drip,10.2
Yield,2,Drip,11.5
Yield,3,Drip,12.3
Yield,4,Drip,11.8
Yield,5,Drip,10.9
Yield,6,Drip,11.2
Yield,7,Drip,12.1
Yield,8,Drip,10.8
Yield,9,Drip,11.7
Yield,10,Drip,12.2
Yield,1,Flood,9.8
Yield,2,Flood,10.1
Yield,3,Flood,10.2
Yield,4,Flood,10.5
Yield,5,Flood,9.7
Yield,6,Flood,9.9
Yield,7,Flood,10.3
Yield,8,Flood,10
Yield,9,Flood,10.4
Yield,10,Flood,9.6
Yield,1,Sprinkler,8.9
Yield,2,Sprinkler,9.1
Yield,3,Sprinkler,8.8
Yield,4,Sprinkler,9.5
Yield,5,Sprinkler,8.7
Yield,6,Sprinkler,9.2
Yield,7,Sprinkler,9
Yield,8,Sprinkler,8.8
Yield,9,Sprinkler,9.3
Yield,10,Sprinkler,8.9
Yield,1,Furrow,9.6
Yield,2,Furrow,9.8
Yield,3,Furrow,9.9
Yield,4,Furrow,9.7
Yield,5,Furrow,9.4
Yield,6,Furrow,9.3
Yield,7,Furrow,9.8
Yield,8,Furrow,9.5
Yield,9,Furrow,9.6
Yield,10,Furrow,9.7
Growth Rate,1,Drip,2.1
Growth Rate,2,Drip,2.3
Growth Rate,3,Drip,2.5
Growth Rate,4,Drip,2.4
Growth Rate,5,Drip,2.2
Growth Rate,6,Drip,2.1
Growth Rate,7,Drip,2.4
Growth Rate,8,Drip,2.2
Growth Rate,9,Drip,2.3
Growth Rate,10,Drip,2.4
Growth Rate,1,Flood,1.9
Growth Rate,2,Flood,2
Growth Rate,3,Flood,2.1
Growth Rate,4,Flood,2.2
Growth Rate,5,Flood,1.8
Growth Rate,6,Flood,1.9
Growth Rate,7,Flood,2
Growth Rate,8,Flood,2
Growth Rate,9,Flood,2.1
Growth Rate,10,Flood,1.8
Growth Rate,1,Sprinkler,1.8
Growth Rate,2,Sprinkler,1.9
Growth Rate,3,Sprinkler,1.7
Growth Rate,4,Sprinkler,2
Growth Rate,5,Sprinkler,1.6
Growth Rate,6,Sprinkler,1.8
Growth Rate,7,Sprinkler,1.7
Growth Rate,8,Sprinkler,1.8
Growth Rate,9,Sprinkler,1.9
Growth Rate,10,Sprinkler,1.7
Growth Rate,1,Furrow,2
Growth Rate,2,Furrow,2.1
Growth Rate,3,Furrow,2.2
Growth Rate,4,Furrow,2.1
Growth Rate,5,Furrow,2
Growth Rate,6,Furrow,1.9
Growth Rate,7,Furrow,2.1
Growth Rate,8,Furrow,2
Growth Rate,9,Furrow,2
Growth Rate,10,Furrow,2.1
