DataID,crop,temperature,precipitation,height,weight,yield
0,leafy greens,30,10,5,10,20
1,cucumbers,30,5,6,12,25
2,carrots,30,2,4,8,18
3,green peppers,20,10,7,15,30
4,leafy greens,20,5,8,18,35
5,cucumbers,20,2,6,12,25
6,carrots,10,10,3,6,15
7,green peppers,10,5,4,8,20
8,leafy greens,10,2,5,10,22
9,cucumbers,30,10,5,10,20
10,carrots,30,5,6,12,25
11,green peppers,30,2,4,8,18
12,leafy greens,20,10,7,15,30
13,cucumbers,20,5,8,18,35
14,carrots,20,2,6,12,25
15,green peppers,10,10,3,6,15
16,leafy greens,10,5,4,8,20
17,cucumbers,10,2,5,10,22
18,carrots,30,10,5,10,20
19,green peppers,30,5,6,12,25
20,leafy greens,30,2,4,8,18
21,cucumbers,20,10,7,15,30
22,carrots,20,5,8,18,35
23,green peppers,20,2,6,12,25
24,leafy greens,10,10,3,6,15
25,cucumbers,10,5,4,8,20
26,carrots,10,2,5,10,22
27,green peppers,30,10,5,10,20
28,leafy greens,30,5,6,12,25
29,cucumbers,30,2,4,8,18
30,carrots,20,10,7,15,30
31,green peppers,20,5,8,18,35
32,leafy greens,20,2,6,12,25
33,cucumbers,10,10,3,6,15
34,carrots,10,5,4,8,20
35,green peppers,10,2,5,10,22
