ExampleNumber,ExampleRow,Field,Value
One,1,Method 1,95.557
One,2,Method 2,67.946
One,3,Method 3,54.038
One,4,Method 4,41.613
One,5,Method 5,20.350
One,6,Method 1,87.668
One,7,Method 2,75.173
One,8,Method 3,51.394
One,9,Method 4,46.488
One,10,Method 5,8.992
One,11,Method 1,92.103
One,12,Method 2,63.745
One,13,Method 3,63.523
One,14,Method 4,44.326
One,15,Method 5,15.891
One,16,Method 1,80.728
One,17,Method 2,80.704
One,18,Method 3,53.328
One,19,Method 4,38.462
One,20,Method 5,5.553
One,21,Method 1,83.383
One,22,Method 2,67.530
One,23,Method 3,42.945
One,24,Method 4,44.537
One,25,Method 5,26.925
One,26,Method 1,95.570
One,27,Method 2,72.496
One,28,Method 3,47.240
One,29,Method 4,48.146
One,30,Method 5,30.944
One,31,Method 1,78.122
One,32,Method 2,68.248
One,33,Method 3,49.777
One,34,Method 4,50.239
One,35,Method 5,-4.165
One,36,Method 1,88.539
One,37,Method 2,70.007
One,38,Method 3,70.122
One,39,Method 4,47.142
One,40,Method 5,22.831
One,41,Method 1,94.367
One,42,Method 2,79.941
One,43,Method 3,44.590
One,44,Method 4,42.236
One,45,Method 5,15.981
One,46,Method 1,91.643
One,47,Method 2,72.966
One,48,Method 3,49.571
One,49,Method 4,53.659
One,50,Method 5,14.606
Two,1,Method 1,95.196
Two,2,Method 2,54.037
Two,3,Method 3,63.691
Two,4,Method 4,45.726
Two,5,Method 5,21.609
Two,6,Method 1,89.452
Two,7,Method 2,68.132
Two,8,Method 3,47.486
Two,9,Method 4,38.746
Two,10,Method 5,44.746
Two,11,Method 1,91.982
Two,12,Method 2,65.521
Two,13,Method 3,59.409
Two,14,Method 4,46.872
Two,15,Method 5,19.479
Two,16,Method 1,82.997
Two,17,Method 2,65.775
Two,18,Method 3,46.546
Two,19,Method 4,36.998
Two,20,Method 5,15.786
Two,21,Method 1,90.640
Two,22,Method 2,80.309
Two,23,Method 3,47.425
Two,24,Method 4,40.084
Two,25,Method 5,10.559
Two,26,Method 1,93.799
Two,27,Method 2,63.487
Two,28,Method 3,55.210
Two,29,Method 4,40.150
Two,30,Method 5,22.908
Two,31,Method 1,86.567
Two,32,Method 2,57.644
Two,33,Method 3,61.918
Two,34,Method 4,37.750
Two,35,Method 5,20.873
Two,36,Method 1,84.508
Two,37,Method 2,71.233
Two,38,Method 3,53.902
Two,39,Method 4,40.633
Two,40,Method 5,-8.525
Two,41,Method 1,92.620
Two,42,Method 2,53.612
Two,43,Method 3,62.498
Two,44,Method 4,45.528
Two,45,Method 5,21.188
Two,46,Method 1,85.401
Two,47,Method 2,82.846
Two,48,Method 3,47.900
Two,49,Method 4,41.807
Two,50,Method 5,18.472
Three,1,Method 1,83.491
Three,2,Method 2,72.248
Three,3,Method 3,70.664
Three,4,Method 4,45.418
Three,5,Method 5,18.170
Three,6,Method 1,90.809
Three,7,Method 2,56.162
Three,8,Method 3,61.430
Three,9,Method 4,35.812
Three,10,Method 5,-2.547
Three,11,Method 1,94.241
Three,12,Method 2,77.986
Three,13,Method 3,59.882
Three,14,Method 4,43.696
Three,15,Method 5,16.316
Three,16,Method 1,91.431
Three,17,Method 2,84.608
Three,18,Method 3,56.348
Three,19,Method 4,42.897
