First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Jackson,Reid,29,A,4,4,4,4,0,4,0,12,0.3333333333333333,5,0.4166666666666667,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jon,Robbins,41,LSM,9,1,1,1,0,1,0,2,0.5,1,0.5,0,0,0,8,1,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,0
Ryan,Aughavin,42,M,2,2,1,0,1,2,0,4,0.25,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Colin,Hinton,2,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Frankie,Labetti,12,FO,2,1,1,1,0,1,0,3,0.3333333333333333,1,0.3333333333333333,0,0,0,9,1,1,51,19,32,0.37254901960784315,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Connor,DeSimone,3,A,5,12,7,7,0,7,5,12,0.5833333333333334,10,0.8333333333333334,1,0,1,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
John,Piatelli,20,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chris,Merle,91,SSDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Rahill,7,D,5,0,0,0,0,0,0,1,0,1,1,1,0,1,9,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Colin,Kirst,5,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0.5,11,10.81967213114754,2,1.9672131147541,2928,0,0,0,0,0,0,,0
Gibson,Smith IV,,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Max,Wayne,33,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Cole,Williams,14,M,4,7,5,5,0,5,2,12,0.4166666666666667,9,0.75,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
