season,first_name,last_name,jersey,position,games_played,points,total_goals,1pt_goals,2pt_goals,scoring_points,assists,shots,shot_pct,shots_on_goal,sog_pct,2pt_shots,2pt_shot_pct,2pt_shots_on_goal,groundballs,turnovers,caused_turnovers,faceoffs,faceoff_wins,faceoff_losses,faceoff_pct,saves,save_pct,scores_against,scores_against_average,2pt_goals_against,2pt_gaa,time_on_field,total_penalties,penalty_minutes,power_play_goals,power_play_shots,short_handed_goals,short_handed_shots,short_handed_goals_against,power_play_goals_against
2023,Matt,DeLuca,1.0,G,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,3,0,3,0,0,0,0.0,32,0.542372881355932,27,10.062111801242237,0,0.0,7728,0,0.0,0,0,0,0,,2
2023,Alexander,Smith,39.0,SSDM,3,1,0,0,0,0,1,1,0.0,1,1.0,0,0.0,0,2,0,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2023,Chris,Gray,4.0,A,3,10,6,5,1,7,3,25,0.24,15,0.6,2,0.5,1,2,4,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,,0
2023,Arden,Cohen,40.0,D,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,4,2,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2023,Matt,Moore,11.0,M,3,5,3,3,0,3,2,19,0.1578947368421052,14,0.7368421052631579,3,0.0,3,4,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,,0
2023,Koby,Smith,0.0,LSM,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2023,Bubba,Fairman,2.0,SSDM,3,1,0,0,0,0,1,1,0.0,1,1.0,0,0.0,0,5,0,2,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0.5,0,0,0,0,,0
2023,Brett,Dobson,45.0,G,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,4,1,1,0,0,0,0.0,46,0.58974358974359,34,11.376786336702684,2,0.669222725688392,8607,1,1.0,0,0,0,0,,3
2023,Brendan,Curry,16.0,M,3,4,4,4,0,4,0,7,0.5714285714285714,4,0.5714285714285714,0,0.0,0,2,1,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2023,Wheaton,Jackoboice,15.0,M,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2023,Dillon,Ward,37.0,G,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,7,0.5,8,21.55285313376988,1,2.69410664172123,1069,0,0.0,0,0,0,0,,0
2023,Connor,Kelly,40.0,M,3,14,9,5,4,13,1,23,0.391304347826087,13,0.5652173913043478,11,0.3636363636363636,6,2,4,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,2,0,0,,0
2023,Zed,Williams,36.0,A,2,5,4,4,0,4,1,14,0.2857142857142857,9,0.6428571428571429,0,0.0,0,1,5,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,,0
2023,Colin,Squires,39.0,LSM,3,3,1,0,1,2,1,2,0.5,1,0.5,2,0.5,1,2,0,2,8,2,6,0.25,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2023,Colin,Kirst,5.0,G,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1,2,0,0,0,0,0.0,16,0.5,16,13.102075632641457,0,0.0,3517,0,0.0,0,0,0,0,,1
2023,Owen,McElroy,24.0,G,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,24,0,0.0,0,0,0,0,,0
